Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.8,,Work time (s),600.0,Work ratio,1.042,Volume load,31920,,,,,
31920,,Intensity adjusted work (s),600.0,Adjusted work ratio,1.042,,,,,,,
31920,,Rest total (s),576,Adjusted volume Load,31920,,,,,,,
 Duration (minutes),,19.6,,Requirement,30 minute work load,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
Work ratio increase. ,,,,,,,,,,,,53.2
1,Static reversals,,8,30,30,240,240,1,240,53.2,12768,12768
2,Static reversals,,3,30,27,90,81,1,90,53.2,4788,4788
,Static reversals,,3,30,30,90,90,1,90,53.2,4788,4788
4,Static reversals,,3,30,25,90,75,1,90,53.2,4788,4788
5,Static reversals,,3,30,30,90,90,1,90,53.2,4788,4788
,,,,,,,,,,,0.00,0.00
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
