Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.5,,Work time (s),890.0,Work ratio,0.978,Volume load,47348,,,,,
47348,,Intensity adjusted work (s),1043.0,Adjusted work ratio,1.146,,,,,,,
55488,,Rest total (s),910,Adjusted volume Load,55488,,,,,,,
 Duration (minutes),,30.0,,Requirement,"Be comfortable with S1.5,1.6",,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Aimed expansion needs strong focus on stability of aim. ,,,,,,,,,,
Aiming intro,,,,,,,,,,,,53.2
1,Static reversals,,3,20,20,60,60,1,60,53.2,3192,3192
2,,,2,30,25,60,50,1,60,53.2,3192,3192
3,"Front end extension, aimed ",4x5s,3,20,30,60,90,1.25,75,53.2,3192,3990
4," Back end expansion, aimed ",4x5s,3,20,30,60,90,1.4,84,53.2,3192,4468.8
5,Static ,,3,30,25,90,75,1,90,53.2,4788,4788
6,both sides expansion aimed ,4x5s,5,20,20,100,100,1.45,145,53.2,5320,7714
7,Slow expansion to far as possible ,Focus on extension of front arm. ,3,30,25,90,75,1.3,117,53.2,4788,6224.4
8,Static ,,3,20,20,60,60,1,60,53.2,3192,3192
9,"Big, balanced  movement both sides",,5,30,30,150,150,1.2,180,53.2,7980,9576
10,Static,,2,20,20,40,40,1,40,53.2,2128,2128
11, Slow steady expansion,3x10s,3,20,20,60,60,1.2,72,53.2,3192,3830.4
10,Static ,,2,30,30,60,60,1,60,53.2,3192,3192
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
