Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.2,,Work time (s),330.0,Work ratio,0.588,Volume load,17556,,,,,
17556,,Intensity adjusted work (s),352.5,Adjusted work ratio,0.628,,,,,,,
18753,,Rest total (s),561,Adjusted volume Load,18753,,,,,,,
 Duration (minutes),,14.9,,Requirement,Minimum 1 weeks work,,,,,,,
,,All exercises to be done with formaster and stabilisers,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
Be comfortable with S. 2,,Strap length tip of fingers at full draw. ,,,,,,,,,,
Increasing hold time,,"Look forward, not towards bow",,,,,,,,,,53.2
1,Static reversals," Draw elbow behind, front arm extended",3,12,25,36,75,1,36,53.2,1915.2,1915.2
2,Static reversals,,3,18,25,54,75,1,54,53.2,2872.8,2872.8
3,"Static, extend front","Push draw arm froward as far as possible, maintain posture",3,15,25,45,75,1.1,49.5,53.2,2394,2633.4
4,Static reversals,,5,15,25,75,125,1,75,53.2,3990,3990
5,Hold with back end movement,2x5s. Slide back end 1cm behind and 1cm in front of anchor,3,10,20,30,60,1.3,39,53.2,1596,2074.8
6,Static reversals,,3,10,25,30,75,1,30,53.2,1596,1596
7,extend front  movement,2x5s. Push front arm forward in steady movement for 5s,3,10,25,30,75,1.3,39,53.2,1596,2074.8
8,Static hold,Hold as long as you can while maintaining posture,1,30,1,30,1,1,30,53.2,1596,1596
,,,,,,,,,,,,0
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0
,,,,,,,,,,,,0
