Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.5,,Work time (s),1025.0,Work ratio,1.212,Volume load,54530,,,,,
54530,,Intensity adjusted work (s),1076.0,Adjusted work ratio,1.272,,,,,,,
57243,,Rest total (s),846,Adjusted volume Load,57243,,,,,,,
 Duration (minutes),,31.2,,Requirement,Be comfortable with S2.2,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,,,,,,,,,,,
Movement then ratio change,,,,,,,,,,,,53.2
1,Static reversals,Static reversals,3,30,30,90,90,1,90,53.2,4788,4788
4,Slow movement both sides ,2x10s Slow movement both sides ,2,20,20,40,40,1.2,48,53.2,2128,2553.6
10,Fast movement,10x2s fast movement,2,20,25,40,50,1.1,44,53.2,2128,2340.8
,Extend Front movement,Push arm forward 4x5s,2,20,25,40,50,1.15,46,53.2,2128,2447.2
5,Back end movement ,4x5s 1cm each froward and back ,2,20,25,40,50,1.3,52,53.2,2128,2766.4
8,Slow movement,3x10s Slow movement both sides,2,30,30,60,60,1.2,72,53.2,3192,3830.4
11,Static,,3,30,20,90,60,1,90,53.2,4788,4788
11,Static,,1,30,15,30,15,1,30,53.2,1596,1596
11,Static,,1,30,20,30,20,1,30,53.2,1596,1596
11,Static,,3,25,20,75,60,1,75,53.2,3990,3990
11,Static,,5,15,10,75,50,1,75,53.2,3990,3990
11,Static,,3,30,30,90,90,1,90,53.2,4788,4788
11,Static,,2,30,15,60,30,1,60,53.2,3192,3192
11,Static,,3,30,30,90,90,1,90,53.2,4788,4788
11,Extend full front,Hold front extended far as possible,3,30,30,90,90,1.1,99,53.2,4788,5266.8
12,Long hold,Hold as long as you can ,1,85,1,85,1,1,85,53.2,4522,4522
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,
