Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.9,,Work time (s),910.0,Work ratio,0.984,Volume load,48412,,,,,
48412,,Intensity adjusted work (s),992.8,Adjusted work ratio,1.073,,,,,,,
52814,,Rest total (s),925,Adjusted volume Load,52814,,,,,,,
 Duration (minutes),,30.6,,Requirement,30 minute work load,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
30 minutes with movements. ,,,,,,,,,,,,53.2
1,Static reversals,,5,30,30,150,150,1,150,53.2,7980,7980
2,Static reversals,,5,30,25,150,125,1,150,53.2,7980,7980
,Extend front movement, 5x5s movement off front. To full extension,5,25,30,125,150,1.15,143.75,53.2,6650,7647.5
5,Back end movement ,5x5s 1cm each froward and back ,4,25,25,100,100,1.3,130,53.2,5320,6916
4,Static reversals,,3,25,30,75,90,1,75,53.2,3990,3990
5,Static reversals,,2,30,30,60,60,1,60,53.2,3192,3192
6, Slow movement,3x10s Slow movement both sides,2,30,30,60,60,1.2,72,53.2,3192,3830.4
6,Fast movement,10x2s. Big movements from crunched in to full extension.  Try to maintain line,5,20,20,100,100,1.1,110,53.2,5320,5852
6, Slow movement,3x10s Slow movement both sides,2,30,30,60,60,1.2,72,53.2,3192,3830.4
5,Static reversals,,1,30,30,30,30,1,30,53.2,1596,1596
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
,,,,,,,,,,,,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,
