Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.1,,Work time (s),300.0,Work ratio,0.550,Volume load,15960,,,,,
15960,,Intensity adjusted work (s),316.5,Adjusted work ratio,0.581,,,,,,,
16838,,Rest total (s),545,Adjusted volume Load,16838,,,,,,,
 Duration (minutes),,14.1,,Requirement,Nil,,,,,,,
,,All exercises to be done with formaster and stabilisers,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
Be comfortable with S. 1 ,,Strap length tip of fingers at full draw. ,,,,,,,,,,
Into and beginning of movement,,"Look forward, not towards bow",,,,,,,,,,53.2
1,Static reversals," Draw elbow behind, front arm extended",3,10,25,30,75,1,30,53.2,1596,1596
2,Static reversals,,3,15,25,45,75,1,45,53.2,2394,2394
3,"Static, extend front","Push draw arm froward as far as possible, maintain posture",3,10,20,30,60,1.1,33,53.2,1596,1755.6
4,Static reversals,,5,15,25,75,125,1,75,53.2,3990,3990
5,Hold with back end movement,2x5s. Slide back end 1cm behind and 1cm in front of anchor,3,10,20,30,60,1.3,39,53.2,1596,2074.8
6,Static reversals,,3,10,25,30,75,1,30,53.2,1596,1596
7, extend front  movement,2x5s push front arm forward in steady movement for 5s,3,10,25,30,75,1.15,34.5,53.2,1596,1835.4
8,Static hold,Hold as long as you can while maintaining posture,1,30,0,30,0,1,30,53.2,1596,1596
,,,,,,0,,,,53.2,0,0
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,0,,,,53.2,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
