Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.9,,Work time (s),940.0,Work ratio,1.056,Volume load,50008,,,,,
50008,,Intensity adjusted work (s),950.0,Adjusted work ratio,1.067,,,,,,,
50540,,Rest total (s),890,Adjusted volume Load,50540,,,,,,,
 Duration (minutes),,30.5,,Requirement,30 minute work load,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
30 minute session,,,,,,,,,,,,53.2
1,Static reversals,,10,30,30,300,300,1,300,53.2,15960,15960
2,Static reversals,,5,30,25,150,125,1,150,53.2,7980,7980
,Static reversals,,5,30,30,150,150,1,150,53.2,7980,7980
4,Static reversals,,5,30,25,150,125,1,150,53.2,7980,7980
5,Static reversals,,2,30,30,60,60,1,60,53.2,3192,3192
6,Fast movement both sides. ,10x2s. Big movements from crunched in to full extension.  Try to maintain line,5,20,20,100,100,1.1,110,53.2,5320,5852
5,Static reversals,,1,30,30,30,30,1,30,53.2,1596,1596
7,,,,,,,,,,,,0
8,,,,,,,,,,,,0
9,,,,,,,,,,,,0
,,,,,,,,,,,,0.00
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
