Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.6,,Work time (s),400.0,Work ratio,0.630,Volume load,21280,,,,,
21280,,Intensity adjusted work (s),430.8,Adjusted work ratio,0.678,,,,,,,
22916,,Rest total (s),635,Adjusted volume Load,22916,,,,,,,
 Duration (minutes),,17.3,,Requirement,S.2 done minimum twice,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,,,,,,,,,,,
Increasing hold time/front end,,,,,,,,,,,,53.2
1,Static reversals,,5,20,30,100,150,1,100,53.2,5320,5320
2,Static reversals,,5,10,20,50,100,1,50,53.2,2660,2660
3,Full front extension ,Hold front arm as far as possible ,3,15,25,45,75,1.15,51.75,53.2,2394,2753.1
4,Static reversals,,3,10,15,30,45,1,30,53.2,1596,1596
5,Static reversals,,2,10,10,20,20,1,20,53.2,1064,1064
6,Extend front movement  ,4x5s,2,20,30,40,60,1.3,52,53.2,2128,2766.4
7,Extend front movement  ,2x5s,4,10,15,40,60,1.3,52,53.2,2128,2766.4
8,Static reversals,,5,15,25,75,125,1,75,53.2,3990,3990
,,,,,,0,,,,53,0,0
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0
,,,,,,,,,,,,0
