Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load
Session 1.5,,Work time (s),370.0,Work ratio,0.654,,,,,,
21479.50,,Intensity adjusted work (s),403.8,Adjusted work ratio,0.713,,,,,,
,,Rest total (s),566,Volume Load,21479.50,,,,,,
 Duration (minutes),,15.6,,Requirement,Minim 3 weeks,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,
,,,,,,,,,,,
1,Static reversals,,3,20,30,60,90,1,60,53.2,3192
2,Static reversals,,2,10,20,20,40,1,20,53.2,1064
3,Extend Front movement,Push arm forward 3x5s ,3,15,25,45,75,1.15,51.75,53.2,2753.1
4,Static reversals,,2,20,30,40,60,1,40,53.2,2128
5,Back end movement ,1cm each way 3x5s,3,15,25,45,75,1.3,58.5,53.2,3112.2
6,Static reversals,,2,20,30,40,60,1,40,53.2,2128
7,Extend front  movement,Front arm forward 3x5s,3,15,30,45,90,1.3,58.5,53.2,3112.2
8,Static reversals,,3,15,25,45,75,1,45,53.2,2394
9,Long hold,As long as you can,1,30,1,30,1,1,30,53.2,1596
,,,,,,0,,,,,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,0,,,,,
