Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.5,,Work time (s),980.0,Work ratio,1.223,Volume load,52136,,,,,
52136,,Intensity adjusted work (s),1026.0,Adjusted work ratio,1.281,,,,,,,
54583,,Rest total (s),801,Adjusted volume Load,54583,,,,,,,
 Duration (minutes),,29.7,,Requirement,Be comfortable with S2.2,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,,,,,,,,,,,
Movement control,,,,,,,,,,,,53.2
1,Static reversals,Static reversals,3,20,20,60,60,1,60,53.2,3192,3192
2,,,2,30,30,60,60,1,60,53.2,3192,3192
3,,,3,30,20,90,60,1,90,53.2,4788,4788
4,Slow movement both sides ,2x10s Slow movement both sides ,3,20,20,60,60,1.2,72,53.2,3192,3830.4
5,Static,Static,3,30,30,90,90,1,90,53.2,4788,4788
6,,,3,30,20,90,60,1,90,53.2,4788,4788
7,,,2,20,20,40,40,1,40,53.2,2128,2128
8, Slow movement,3x10s Slow movement both sides,2,30,30,60,60,1.2,72,53.2,3192,3830.4
9,Static,Static,3,30,20,90,60,1,90,53.2,4788,4788
10, fast movement,10x2s fast movement,8,20,20,160,160,1.1,176,53.2,8512,9363.2
8, Slow movement,3x10s Slow movement,1,30,30,30,30,1.2,36,53.2,1596,1915.2
11,Static,,3,25,20,75,60,1,75,53.2,3990,3990
12,Long hold,Hold as long as you can ,1,75,1,75,1,1,75,53.2,3990,3990
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
