Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 2.5,,Work time (s),955.0,Work ratio,1.192,Volume load,50806,,,,,
50806,,Intensity adjusted work (s),1019.0,Adjusted work ratio,1.272,,,,,,,
54211,,Rest total (s),801,Adjusted volume Load,54211,,,,,,,
 Duration (minutes),,29.3,,Requirement,Be comfortable with S2.2,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,,,,,,,,,,,
Slight increase ,,,,,,,,,,,,53.2
1,Static reversals,Static reversals,3,20,20,60,60,1,60,53.2,3192,3192
2,,,3,30,30,90,90,1,90,53.2,4788,4788
3,Slow movement both sides ,2x10s Slow movement both sides ,3,20,20,60,60,1,60,53.2,3192,3192
4,Static ,,5,30,20,150,100,1,150,53.2,7980,7980
5,,,5,20,20,100,100,1.3,130,53.2,5320,6916
6, Slow movement,3x10s Slow movement both sides,3,30,30,90,90,1.2,108,53.2,4788,5745.6
7,Static,Static,3,30,20,90,60,1,90,53.2,4788,4788
8, Fast movement,10x2s fast movement,8,20,20,160,160,1.1,176,53.2,8512,9363.2
9,Static,,4,20,20,80,80,1,80,53.2,4256,4256
10,Long hold,Hold as long as you can ,1,75,1,75,1,1,75,53.2,3990,3990
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,
