Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 720 70m,Experienced,Recurve,Longmynd,Record Status Competition,2015-04-12,655,,,,16,1st,14,777,1432
Patrick Huston,WA 720 70m,Experienced,Recurve,Longmynd,Record Status Competition,2015-04-12,643,,,,19,1st,14,777,1420
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,astro,Practice Session,2015-04-08,325,,,,18,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,EURO GAMES SS,Record Status Competition,2015-04-01,611,,,,26,1st,14,777,1388
Patrick Huston,WA 720 70m,Experienced,Recurve,EURO GAMES SS,Record Status Competition,2015-04-01,626,,,,23,1st,14,777,1403
Patrick Huston,WA 720 70m,Experienced,Recurve,Greece,Practice Session,2015-03-28,649,,,,18,1st,14,777,1426
Patrick Huston,WA 720 70m,Experienced,Recurve,Euro GP (greece),Record Status Competition,2015-03-26,641,,,,20,1st,14,777,1418
Patrick Huston,WA 720 70m,Experienced,Recurve,Euro GP,Record Status Competition,2015-03-25,641,72,,,20,1st,14,777,1418
Patrick Huston,WA 720 70m,Experienced,Recurve,sutherland,Practice Session,2015-03-19,653,,,,17,1st,14,777,1430
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2015-03-17,331,,,,14,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2015-03-11,632,,,,22,1st,14,777,1409
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,pod,Practice Session,2015-03-05,321,,,,20,1st,,,
Patrick Huston,WA 18m,Experienced,Recurve,European Indoors,Record Status Competition,2015-02-26,588,,,,8,A,7,851,1439
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2015-02-12,640,,,,20,1st,14,777,1417
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2015-02-11,316,,,,22,1st,,,
Patrick Huston,NFAA Vegas,Experienced,Recurve,Vegas,Competition (Non Record Status),2015-02-08,290,,,,12,A,,,
Patrick Huston,NFAA Vegas,Experienced,Recurve,Vegas,Competition (Non Record Status),2015-02-07,293,,,,9,A,,,
Patrick Huston,NFAA Vegas,Experienced,Recurve,Vegas,Competition (Non Record Status),2015-02-06,295,,,,6,A,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,sutherland,Practice Session,2015-01-27,333,,,,13,1st,,,
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2015-01-20,587,,,,8,A,7,851,1438
Patrick Huston,WA 720 70m,Experienced,Recurve,sutherland,Practice Session,2015-01-20,652,,,,17,1st,14,777,1429
Patrick Huston,WA 25m,Experienced,Recurve,wmas,Record Status Competition,2015-01-18,582,,,,12,A,7,850,1432
