Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-09-20,567,,,,19,B,13,862,1429
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-09-20,569,,,,18,B,13,862,1431
Patrick Huston,Metric I,Experienced,Recurve,City of Belfast,Record Status Competition,2012-06-23,1295,144,,,22,1st,23,159,1454
Patrick Huston,Long Metric I,Experienced,Recurve,CoB,Practice Session,2012-06-21,621,,,,26,1st,23,806,1427
Patrick Huston,Metric I,Experienced,Recurve,CoB,Practice Session,2012-06-21,1276,,,,24,1st,23,159,1435
Patrick Huston,Short Metric,Experienced,Recurve,CoB,Practice Session,2012-06-19,655,,,,21,3rd,23,794,1449
Patrick Huston,WA 720 70m,Experienced,Recurve,City of Belfast,Record Status Competition,2012-06-12,622,72,,,24,1st,25,827,1449
Patrick Huston,WA 720 70m,Experienced,Recurve,IAAA,Record Status Competition,2012-06-10,609,72,,,26,1st,26,833,1442
Patrick Huston,Bristol I / Hereford,Experienced,Recurve,NICS,Record Status Competition,2012-06-02,1112,,,,32,1st,26,265,1377
Patrick Huston,WA 720 70m,Experienced,Recurve,City of Belfast,Record Status Competition,2012-05-24,613,72,,,25,1st,26,833,1446
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Muckamore,Competition (Non Record Status),2012-05-12,1177,144,,,29,BM,27,237,1414
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Bangor,Record Status Competition,2012-04-09,1207,144,,,27,MB*,27,237,1444
Patrick Huston,Portsmouth,Experienced,Recurve,NIAS,Record Status Competition,2012-03-25,583,,,,20,B,14,848,1431
Patrick Huston,WA 18m,Experienced,Recurve,NIAS,Record Status Competition,2012-03-24,566,,,,19,B,14,864,1430
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-03-22,574,,,,15,B,14,864,1438
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2012-03-03,585,,,,19,B,14,848,1433
Patrick Huston,Stafford,Experienced,Recurve,Record Status Competition,Record Status Competition,2012-03-03,675,72,,,24,C,14,741,1416
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2012-03-02,570,,,,27,C,14,848,1418
Patrick Huston,Stafford,Experienced,Recurve,NICS,Record Status Competition,2012-03-02,687,,,,19,B,14,741,1428
Patrick Huston,Vegas,Experienced,Recurve,MCA,Record Status Competition,2012-02-25,539,,,,28,C,14,864,1403
Patrick Huston,WA 18m,Experienced,Recurve,CAC,Record Status Competition,2012-01-28,563,,,,20,B,14,864,1427
Patrick Huston,WA 18m,Experienced,Recurve,CAC,Record Status Competition,2012-01-26,579,,,,13,A,14,864,1443
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,farm,Practice Session,2011-12-27,292,,,,30,1st,,,
Patrick Huston,90m 122cm 10 Zone,Experienced,Recurve,farm,Practice Session,2011-12-27,293,,,,23,BM,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,farm,Practice Session,2011-12-26,328,,,,16,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,farm,Practice Session,2011-12-24,638,,,,21,1st,26,833,1471
Patrick Huston,WA 720 70m,Experienced,Recurve,farm,Practice Session,2011-12-23,602,,,,27,1st,31,866,1468
Patrick Huston,Double Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2011-12-17,1157,,,,23,C,,,
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2011-12-17,572,,,,26,C,14,848,1420
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2011-12-17,585,,,,19,B,14,848,1433
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2011-12-14,543,,,,27,C,14,864,1407
Patrick Huston,WA 18m,Experienced,Recurve,club,Practice Session,2011-12-05,544,,,,27,C,14,864,1408
Patrick Huston,Portsmouth,Experienced,Recurve,JNIC,Record Status Competition,2011-12-02,594,60,,,12,A,14,848,1442
Patrick Huston,Portsmouth,Experienced,Recurve,CoB,Practice Session,2011-12-01,589,,,,16,B,16,851,1440
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2011-11-24,574,,,,15,B,16,868,1442
Patrick Huston,WA 18m,Experienced,Recurve,IAAA,Record Status Competition,2011-11-20,575,,,,15,B,16,868,1443
Patrick Huston,WA 25m,Experienced,Recurve,MCA,Record Status Competition,2011-11-19,564,,,,21,B,16,866,1430
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Record Status Competition,2011-11-12,581,,,,22,C,16,851,1432
Patrick Huston,Double Portsmouth,Experienced,Recurve,STAC,Record Status Competition,2011-11-05,1181,,,,15,B,,,
Patrick Huston,Portsmouth,Experienced,Recurve,Seven towers,Competition (Non Record Status),2011-11-05,591,60,,,15,B,16,851,1442
Patrick Huston,Portsmouth,Experienced,Recurve,Seven towers,Competition (Non Record Status),2011-11-05,590,60,,,16,B,17,852,1442
Patrick Huston,WA 18m,Experienced,Recurve,KAC,Competition (Non Record Status),2011-10-29,580,60,,,12,A,17,870,1450
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2011-10-27,566,,,,19,B,21,880,1446
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2011-10-20,566,,,,19,B,22,883,1449
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Practice Session,2011-10-18,583,,,,20,B,24,864,1447
Patrick Huston,Portsmouth,Experienced,Recurve,MCA,Record Status Competition,2011-10-08,562,,,,30,C,27,871,1433
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore,Competition (Non Record Status),2011-10-08,572,60,,,26,C,27,871,1443
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2011-09-29,521,,,,32,C,27,899,1420
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Competition (Non Record Status),2011-09-03,544,60,,,37,D,27,871,1415
Patrick Huston,Portsmouth,Experienced,Recurve,home,Practice Session,2011-08-28,556,,,,33,C,27,871,1427
Patrick Huston,Vegas,Experienced,Recurve,home,Practice Session,2011-08-28,527,,,,31,C,27,899,1426
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Practice Session,2011-08-23,571,,,,27,C,27,871,1442
Patrick Huston,Metric II,Experienced,Recurve,NIAS,Record Status Competition,2011-08-20,1169,,,,38,2nd,34,228,1397
Patrick Huston,Portsmouth,Experienced,Recurve,CoB,Practice Session,2011-08-04,575,,,,25,C,27,871,1446
Patrick Huston,Metric I,Experienced,Recurve,LCAC,Record Status Competition,2011-07-24,1039,,,,41,1st,34,285,1324
Patrick Huston,Bristol II,Experienced,Recurve,Lilleshall,Record Status Competition,2011-07-03,1179,,,,33,2nd,34,274,1453
Patrick Huston,Metric II,Experienced,Recurve,Lilleshall,Record Status Competition,2011-07-02,1191,,,,36,2nd,35,240,1431
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-06-08,568,,,,28,C,29,875,1443
Patrick Huston,Bristol II,Experienced,Recurve,NICS,Record Status Competition,2011-06-05,1117,,,,39,2nd,35,285,1402
Patrick Huston,Bristol II,Experienced,Recurve,NICS,Record Status Competition,2011-06-04,1100,,,,40,2nd,35,285,1385
Patrick Huston,Bristol II,Experienced,Recurve,NICS,Record Status Competition,2011-05-06,1117,144,,,39,2nd,35,285,1402
Patrick Huston,Bristol II,Experienced,Recurve,NICS,Record Status Competition,2011-05-06,1117,144,,,39,2nd,35,285,1402
Patrick Huston,Metric II,Experienced,Recurve,KAC,Record Status Competition,2011-04-30,1042,,,,46,2nd,35,240,1282
Patrick Huston,Metric II,Experienced,Recurve,Bangor,Record Status Competition,2011-04-25,1173,,,,38,2nd,35,240,1413
Patrick Huston,Bristol II,Experienced,Recurve,NICS,Record Status Competition,2011-04-06,1100,144,,,40,2nd,35,285,1385
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-03-30,551,,,,34,D,30,878,1429
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-03-09,565,,,,29,C,30,878,1443
Patrick Huston,Bristol II,Experienced,Recurve,JNOC,Record Status Competition,2011-03-07,1179,144,,,33,2nd,35,285,1464
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2011-03-05,553,,,,34,D,31,881,1434
Patrick Huston,Stafford,Experienced,Recurve,NICS,Record Status Competition,2011-03-05,621,,,,37,D,31,793,1414
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-03-02,555,,,,33,C,31,881,1436
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Competition (Non Record Status),2011-03-01,553,60,,,34,D,31,881,1434
Patrick Huston,Vegas,Experienced,Recurve,MCA,Record Status Competition,2011-02-26,536,,,,29,C,31,914,1450
Patrick Huston,Vegas,Experienced,Recurve,MCA,Record Status Competition,2011-02-26,515,,,,34,D,32,919,1434
Patrick Huston,Vegas,Experienced,Recurve,CoB,Practice Session,2011-02-24,515,,,,34,D,32,919,1434
Patrick Huston,Vegas,Experienced,Recurve,Bangor,Practice Session,2011-02-22,505,,,,36,D,32,919,1424
Patrick Huston,WA 720 70m,Experienced,Recurve,NIAS,Record Status Competition,2011-02-18,536,72,,,36,1st,,,
Patrick Huston,Metric II,Experienced,Recurve,JNOC,Record Status Competition,2011-02-07,1191,144,,,36,2nd,,,
Patrick Huston,Portsmouth,Experienced,Recurve,BAB (Jun champs),Record Status Competition,2011-01-30,554,,,,33,C,32,883,1437
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Practice Session,2011-01-29,538,,,,38,D,32,883,1421
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-01-26,555,,,,33,C,32,883,1438
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-01-19,552,,,,34,D,32,883,1435
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2011-01-12,541,,,,37,D,32,883,1424
Patrick Huston,Portsmouth,Experienced,Recurve,club comp.,Practice Session,2011-01-05,549,,,,35,D,32,883,1432
Patrick Huston,Portsmouth,Experienced,Recurve,farm,Practice Session,2010-12-28,570,,,,27,C,32,883,1453
Patrick Huston,Portsmouth,Experienced,Recurve,squad (KAC),Practice Session,2010-11-28,550,,,,35,D,36,895,1445
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2010-11-24,548,,,,35,D,36,895,1443
Patrick Huston,WA 25m,Experienced,Recurve,MCA,Record Status Competition,2010-11-20,527,,,,32,C,36,933,1460
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2010-11-17,531,,,,40,D,39,906,1437
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Record Status Competition,2010-11-13,546,,,,36,D,39,906,1452
Patrick Huston,Double Portsmouth,Experienced,Recurve,STAC,Record Status Competition,2010-11-06,1044,,,,43,D,,,
Patrick Huston,Portsmouth,Experienced,Recurve,STAC,Record Status Competition,2010-11-06,527,,,,41,D,42,917,1444
Patrick Huston,Portsmouth,Experienced,Recurve,Seven towers,Competition (Non Record Status),2010-11-06,518,60,,,43,D,42,917,1435
Patrick Huston,Portsmouth,Experienced,Recurve,club,Practice Session,2010-11-03,524,,,,42,D,42,917,1441
Patrick Huston,Portsmouth,Experienced,Recurve,farm,Practice Session,2010-11-01,539,,,,38,D,42,917,1456
Patrick Huston,Portsmouth,Experienced,Recurve,Squad (MCA),Practice Session,2010-10-17,530,,,,40,D,,,
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Record Status Competition,2010-09-04,501,,,,47,E,,,
Patrick Huston,Metric II,Experienced,Recurve,lisburn,Competition (Non Record Status),2010-07-24,1010,144,,,47,2nd,,,
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Competition (Non Record Status),2010-04-09,501,60,,,47,E,,,
